STOCK_REGION,STATION_ID,CLAT,CLON
Snow,N-20,59.33,-169.86
Snow,N-21,59.33,-170.53
Snow,N-22,59.33,-171.18
Snow,N-23,59.33,-171.83
Snow,N-27,59.33,-174.45
Snow,N-28,59.33,-175.1
Snow,N-29,59.33,-175.75
Snow,N-30,59.33,-176.38
Snow,N-31,59.33,-177.06
Snow,O-01,59.66,-167.95
Snow,O-02,59.66,-167.28
Snow,O-03,59.66,-166.63
Snow,O-18,59.66,-168.61
Snow,O-19,59.66,-169.26
Snow,O-20,59.66,-169.91
Snow,O-21,59.66,-170.58
Snow,O-22,59.66,-171.25
Snow,O-28,59.66,-175.1
Snow,O-29,59.66,-175.86
Snow,O-30,59.66,-176.53
Snow,O-31,59.66,-177.15
Snow,P-01,60,-167.98
Snow,P-18,60,-168.65
Snow,P-19,60,-169.31
Snow,P-20,60,-169.96
Snow,P-21,60,-170.63
Snow,P-22,60,-171.3
Snow,P-28,60,-175.26
Snow,P-29,60,-175.93
Snow,P-30,60,-176.71
Snow,P-31,60,-177.21
Snow,P-32,60,-177.93
Snow,Q-01,60.33,-167.98
Snow,Q-02,60.33,-167.3
Snow,Q-18,60.33,-168.68
Snow,Q-19,60.33,-169.33
Snow,Q-20,60.33,-170.03
Snow,Q-21,60.33,-170.66
Snow,Q-22,60.33,-171.36
Snow,Q-28,60.33,-175.38
Snow,Q-29,60.33,-176.03
Snow,Q-30,60.33,-176.71
Snow,Q-31,60.33,-177.38
Snow,R-22,60.66,-171.45
Snow,R-23,60.66,-172.11
Snow,R-24,60.66,-172.78
Snow,R-25,60.66,-173.46
Snow,R-26,60.66,-174.13
Snow,R-27,60.66,-174.83
Snow,R-28,60.66,-175.45
Snow,R-29,60.66,-176.2
Snow,R-30,60.66,-176.8
Snow,R-31,60.66,-177.5
Snow,R-32,60.66,-178.18
Snow,S-22,61,-171.52
Snow,S-23,61,-172.16
Snow,S-24,61,-172.89
Snow,S-25,61,-173.5
Snow,S-26,61,-174.26
Snow,S-27,61,-174.88
Snow,S-28,61,-175.63
Snow,S-29,61,-176.28
Snow,S-30,61,-176.96
Snow,S-31,61,-177.63
Snow,T-25,61.33,-173.68
Snow,T-26,61.33,-174.37
Snow,T-27,61.33,-175.06
Snow,T-28,61.33,-175.76
Snow,T-29,61.33,-176.3
Snow,T-30,61.33,-176.96
Snow,U-25,61.66,-173.78
Snow,U-26,61.66,-174.43
Snow,U-27,61.66,-175.18
Snow,U-28,61.66,-175.78
Snow,U-29,61.66,-176.46
Snow,V-25,62,-173.89
Snow,V-26,62,-174.6
Snow,V-27,62,-175.3
Snow,V-28,62,-176.01
Snow,O-04,59.66,-165.96
Snow,N-04,59.33,-165.95
Snow,N-05,59.33,-165.31
Snow,M-04,59,-165.93
Snow,M-05,59,-165.3
Snow,L-04,58.66,-165.93
Snow,L-05,58.66,-165.3
Snow,K-04,58.33,-165.91
Snow,K-05,58.33,-165.28
Snow,J-04,58,-165.9
Snow,J-05,58,-165.25
Snow,I-04,57.66,-165.88
Snow,I-05,57.66,-165.25
Snow,H-04,57.33,-165.86
Snow,H-05,57.33,-165.23
Snow,G-04,57,-165.85
Snow,G-05,57,-165.21
Snow,F-04,56.66,-165.83
Snow,F-05,56.66,-165.21
Snow,E-04,56.33,-165.8
Snow,E-05,56.33,-165.2
Snow,D-04,56,-165.78
Snow,D-05,56,-165.18
Snow,C-04,55.66,-165.8
Snow,C-05,55.66,-165.16
Snow,B-04,55.33,-165.78
Snow,B-05,55.33,-165.16
